,Score_date,Business Type,Main Category,Checking Result (Sub Category),Background detail- ID,Team/Category
5670,2023-10-22,AFI,SOP Improvement,FAQ Revision Q&A ,How to apply for a loan,Loan
5671,2023-10-22,AFI,SOP Improvement,FAQ Revision Q&A ,Paylater limit cannot be used,Submission of Limit/Credit Points
5672,2023-10-22,AFI,SOP Improvement,FAQ Revision Q&A ,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5673,2023-10-22,AFI,SOP Improvement,FAQ Revision Q&A ,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5674,2023-10-22,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5675,2023-10-22,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5676,2023-10-22,AFI/ASI,Customer,Not meet expectation,Connect to CS,No Category
5677,2023-10-22,ASI,Customer,Not meet expectation,Phone balance has not been received,Voucher
5678,2023-10-22,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5679,2023-10-22,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5680,2023-10-22,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5681,2023-10-22,AFI,Customer,Not meet expectation,Can't submit a loan,Loan
5682,2023-10-22,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5683,2023-10-22,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5684,2023-10-22,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5685,2023-10-22,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5686,2023-10-23,AFI,Operational,Answer not update by Engginer,Cannot be installments,Submission of Limit/Credit Points
5687,2023-10-23,AFI,Operational,Answer not update by Engginer,Cannot be installments,Submission of Limit/Credit Points
5688,2023-10-23,AFI,Operational,Answer not update by Engginer,Failed to apply for a loan,Loan
5689,2023-10-23,AFI,Operational,Answer not update by Engginer,Failed to apply for a loan,Loan
5690,2023-10-23,AFI,Operational,Answer not update by Engginer,Cannot be installments,Submission of Limit/Credit Points
5691,2023-10-23,AFI,Operational,Answer not update by Engginer,Cannot be installments,Submission of Limit/Credit Points
5692,2023-10-23,AFI,Operational,Answer not update by Engginer,Failed to apply for a loan,Loan
5693,2023-10-23,AFI,Operational,Answer not update by Engginer,Failed to apply for a loan,Loan
5694,2023-10-23,AFI,Operational,Answer not update by Engginer,Can't make loans,Loan
5695,2023-10-23,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5696,2023-10-23,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5697,2023-10-23,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5698,2023-10-23,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5699,2023-10-23,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5700,2023-10-23,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5701,2023-10-23,AFI/ASI,Customer,Not meet expectation,Connect to CS,No Category
5702,2023-10-23,AFI/ASI,Customer,Not meet expectation,Connect to CS,No Category
5703,2023-10-23,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5704,2023-10-23,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5705,2023-10-23,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5706,2023-10-23,AFI,Customer,Not meet expectation,Can't submit a loan,Loan
5707,2023-10-23,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5708,2023-10-23,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5709,2023-10-23,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5710,2023-10-23,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5711,2023-10-23,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5712,2023-10-24,ASI,Customer,Not meet expectation,Data Package Not Received,Voucher
5713,2023-10-24,AFI,Operational,Answer not update by Engginer,Cannot be installments,Submission of Limit/Credit Points
5714,2023-10-24,AFI,Operational,Answer not update by Engginer,Cannot be installments,Submission of Limit/Credit Points
5715,2023-10-24,AFI,Operational,Answer not update by Engginer,Failed to apply for a loan,Loan
5716,2023-10-24,AFI,Operational,Answer not update by Engginer,Failed to apply for a loan,Loan
5717,2023-10-24,AFI,Operational,Answer not update by Engginer,Submission to unblock the account,Account Security
5718,2023-10-24,AFI,Operational,Answer not update by Engginer,Cannot be installments,Submission of Limit/Credit Points
5719,2023-10-24,AFI,Operational,Answer not update by Engginer,Failed to apply for a loan,Loan
5720,2023-10-24,AFI,Operational,Answer not update by Engginer,Failed to apply for a loan,Loan
5721,2023-10-24,AFI,Operational,Answer not update by Engginer,Can't make loans,Loan
5722,2023-10-24,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5723,2023-10-24,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5724,2023-10-24,AFI,Customer,Not meet expectation,"On time paying loans, but can't borrow",Loan
5725,2023-10-24,AFI,Customer,Not meet expectation,Cannot apply for a loan,Loan
5726,2023-10-24,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5727,2023-10-24,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5728,2023-10-24,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5729,2023-10-24,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5730,2023-10-24,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5731,2023-10-24,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5732,2023-10-24,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5733,2023-10-24,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5734,2023-10-24,AFI,Customer,Not meet expectation,Can't make payments,Installment/Payment Gateway
5735,2023-10-24,AFI,Customer,Not meet expectation,Can't submit a loan,Loan
5736,2023-10-24,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5737,2023-10-24,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5738,2023-10-24,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5739,2023-10-24,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5740,2023-10-24,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5741,2023-10-25,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5742,2023-10-25,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5743,2023-10-25,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5744,2023-10-25,AFI,Customer,Not meet expectation,Loan limit decreases,Loan
5745,2023-10-25,AFI,Customer,Not meet expectation,Loan limit decreases,Loan
5746,2023-10-25,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5747,2023-10-25,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5748,2023-10-25,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5749,2023-10-25,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5750,2023-10-25,AFI,Customer,Not meet expectation,Can't make loans,Loan
5751,2023-10-25,AFI,Customer,Not meet expectation,Cannot make credit applications in the Akulaku application,Submission of Limit/Credit Points
5752,2023-10-25,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5753,2023-10-25,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5754,2023-10-25,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5755,2023-10-25,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5756,2023-10-25,AFI,Customer,Not meet expectation,Want a loan application,Loan
5757,2023-10-25,AFI,Customer,Not meet expectation,Cannot apply for a loan,Loan
5758,2023-10-25,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5759,2023-10-25,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5760,2023-10-25,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5761,2023-10-25,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5762,2023-10-25,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5763,2023-10-25,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5764,2023-10-25,AFI/ASI,Customer,Not meet expectation,Connect to CS,No Category
5765,2023-10-25,ASI,Customer,Not meet expectation,Phone balance has not been received,Voucher
5766,2023-10-25,ASI,Customer,Not meet expectation,Phone balance has not been received,Voucher
5767,2023-10-25,AFI/ASI,Customer,Not meet expectation,Contact CS Live Chat,No Category
5768,2023-10-25,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5769,2023-10-25,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5770,2023-10-25,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5771,2023-10-25,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5772,2023-10-25,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5773,2023-10-25,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5774,2023-10-25,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5775,2023-10-25,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5776,2023-10-26,ASI,Customer,Not meet expectation,Data Package Not Received,Voucher
5777,2023-10-26,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5778,2023-10-26,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5779,2023-10-26,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5780,2023-10-26,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5781,2023-10-26,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5782,2023-10-26,AFI,Customer,Not meet expectation,Postponement of bill payments,Collection
5783,2023-10-26,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5784,2023-10-26,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5785,2023-10-26,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5786,2023-10-26,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5787,2023-10-26,AFI,Customer,Not meet expectation,Postponement of bill payments,Collection
5788,2023-10-26,AFI,Customer,Not meet expectation,Postponement of bill payments,Collection
5789,2023-10-26,AFI,Customer,Not meet expectation,Can't make loans,Loan
5790,2023-10-26,ASI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5791,2023-10-26,ASI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5792,2023-10-26,AFI,Customer,Not meet expectation,Credit Score Check,Submission of Limit/Credit Points
5793,2023-10-26,AFI,Customer,Not meet expectation,Loan limit decreases,Loan
5794,2023-10-26,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5795,2023-10-26,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5796,2023-10-26,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5797,2023-10-26,AFI,Customer,Not meet expectation,Paylater submission failed,Submission of Limit/Credit Points
5798,2023-10-26,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5799,2023-10-26,AFI,Customer,Not meet expectation,"On time paying loans, but can't borrow",Loan
5800,2023-10-26,AFI,Customer,Not meet expectation,Cannot apply for a loan,Loan
5801,2023-10-26,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5802,2023-10-26,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5803,2023-10-26,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5804,2023-10-26,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5805,2023-10-26,AFI/ASI,Customer,Not meet expectation,Connect to CS,No Category
5806,2023-10-26,AFI,Customer,Not meet expectation,Definition of Akulaku Paylater,Akulaku Paylater
5807,2023-10-26,ASI,Customer,Not meet expectation,Phone balance has not been received,Voucher
5808,2023-10-26,ASI,Customer,Not meet expectation,Phone balance has not been received,Voucher
5809,2023-10-26,ASI,Customer,Not meet expectation,Application login constraints,Bug
5810,2023-10-26,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5811,2023-10-26,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5812,2023-10-26,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5813,2023-10-26,AFI,Customer,Not meet expectation,Constraints Cannot Buy Products,Submission of Limit/Credit Points
5814,2023-10-26,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5815,2023-10-26,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5816,2023-10-26,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5817,2023-10-26,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5818,2023-10-26,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5819,2023-10-27,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5820,2023-10-27,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5821,2023-10-27,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5822,2023-10-27,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5823,2023-10-27,AFI,Customer,Issue not clear,Postponement of bill payments,Collection
5824,2023-10-27,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5825,2023-10-27,ASI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5826,2023-10-27,ASI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5827,2023-10-27,ASI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5828,2023-10-27,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5829,2023-10-27,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5830,2023-10-27,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5831,2023-10-27,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5832,2023-10-27,AFI,Customer,Not meet expectation,Cannot apply for a loan,Loan
5833,2023-10-27,AFI,Operational,Question Keyword,Loan application is rejected,Loan
5834,2023-10-27,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5835,2023-10-27,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5836,2023-10-27,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5837,2023-10-27,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5838,2023-10-27,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5839,2023-10-27,AFI/ASI,Customer,Not meet expectation,Connect to CS,No Category
5840,2023-10-27,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5841,2023-10-27,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5842,2023-10-27,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5843,2023-10-27,AFI,Customer,Not meet expectation,Cannot submit installment funds,Loan
5844,2023-10-27,AFI,Customer,Not meet expectation,Can't make payments,Installment/Payment Gateway
5845,2023-10-27,AFI,SOP Improvement,FAQ Revision Q&A ,Can't submit a loan,Loan
5846,2023-10-27,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5847,2023-10-27,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5848,2023-10-27,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5849,2023-10-27,AFI,Classification details,Top-FAQ 10 AFI,Top-FAQ 10 AFI,No Category
5850,2023-10-27,AFI,Classification details,Top-FAQ 10 AFI,Top-FAQ 10 AFI,No Category
5851,2023-10-27,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5852,2023-10-27,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5853,2023-10-27,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5854,2023-10-28,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5855,2023-10-28,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5856,2023-10-28,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5857,2023-10-28,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5858,2023-10-28,AFI,Customer,Not meet expectation,Loan limit decreases,Loan
5859,2023-10-28,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5860,2023-10-28,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5861,2023-10-28,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5862,2023-10-28,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5863,2023-10-28,AFI,Customer,Not meet expectation,Loan limit decreases,Loan
5864,2023-10-28,AFI,Customer,Not meet expectation,Can't make loans,Loan
5865,2023-10-28,AFI,Customer,Not meet expectation,Loan application back after the bill is paid off,Loan
5866,2023-10-28,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5867,2023-10-28,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5868,2023-10-28,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5869,2023-10-28,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5870,2023-10-28,AFI,Customer,Not meet expectation,Large Paylater limit but not functioning,Submission of Limit/Credit Points
5871,2023-10-28,AFI,Operational,Question Keyword,Loan application is rejected,Loan
5872,2023-10-28,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5873,2023-10-28,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5874,2023-10-28,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5875,2023-10-28,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5876,2023-10-28,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5877,2023-10-28,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5878,2023-10-28,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5879,2023-10-28,AFI/ASI,Customer,Not meet expectation,Connect to CS,No Category
5880,2023-10-28,AFI/ASI,Customer,Not meet expectation,Connect to CS,No Category
5881,2023-10-28,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5882,2023-10-28,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5883,2023-10-28,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5884,2023-10-28,AFI,Operational,Answers are out of sync,Cannot make credit applications in the Akulaku application,Submission of Limit/Credit Points
5885,2023-10-28,AFI,Customer,Not meet expectation,Can't make payments,Installment/Payment Gateway
5886,2023-10-28,AFI,Customer,Not meet expectation,Not due but contacted,Collection
5887,2023-10-28,AFI,SOP Improvement,FAQ Revision Q&A ,Can't submit a loan,Loan
5888,2023-10-28,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5889,2023-10-28,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5890,2023-10-28,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5891,2023-10-28,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5892,2023-10-28,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5893,2023-10-29,ASI,Customer,Not meet expectation,Data Package Not Received,Voucher
5894,2023-10-29,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5895,2023-10-29,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5896,2023-10-29,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5897,2023-10-29,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5898,2023-10-29,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5899,2023-10-29,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5900,2023-10-29,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5901,2023-10-29,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5902,2023-10-29,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5903,2023-10-29,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5904,2023-10-29,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5905,2023-10-29,AFI,Customer,Not meet expectation,Cannot apply for a loan,Loan
5906,2023-10-29,AFI,Customer,Not meet expectation,Cannot apply for a loan,Loan
5907,2023-10-29,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5908,2023-10-29,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5909,2023-10-29,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5910,2023-10-29,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5911,2023-10-29,ASI,Customer,Not meet expectation,Phone balance has not been received,Voucher
5912,2023-10-29,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5913,2023-10-29,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5914,2023-10-29,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5915,2023-10-29,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5916,2023-10-29,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5917,2023-10-29,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5918,2023-10-29,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5919,2023-10-30,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5920,2023-10-30,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5921,2023-10-30,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5922,2023-10-30,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5923,2023-10-30,AFI,Customer,Not meet expectation,Loan limit decreases,Loan
5924,2023-10-30,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5925,2023-10-30,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5926,2023-10-30,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5927,2023-10-30,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5928,2023-10-30,AFI,Customer,Not meet expectation,Can't make loans,Loan
5929,2023-10-30,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5930,2023-10-30,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5931,2023-10-30,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5932,2023-10-30,AFI,Customer,Not meet expectation,Large Paylater limit but not functioning,Submission of Limit/Credit Points
5933,2023-10-30,AFI,Customer,Not meet expectation,Loan does not pass verification,Loan
5934,2023-10-30,AFI,Customer,Not meet expectation,"On time paying loans, but can't borrow",Loan
5935,2023-10-30,AFI,Customer,Not meet expectation,Cannot apply for a loan,Loan
5936,2023-10-30,AFI,Customer,Not meet expectation,Cannot apply for a loan,Loan
5937,2023-10-30,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5938,2023-10-30,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5939,2023-10-30,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5940,2023-10-30,AFI,Customer,Not meet expectation,Limit cannot be used,Submission of Limit/Credit Points
5941,2023-10-30,AFI/ASI,Customer,Issue not clear,Consultation related to complaints and suggestions that cannot be identified,No Category
5942,2023-10-30,AFI,Customer,Not meet expectation,Definition of Akulaku Paylater,Akulaku Paylater
5943,2023-10-30,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5944,2023-10-30,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5945,2023-10-30,AFI/ASI,Customer,Issue not clear,chit-chat not identifikasi,No Category
5946,2023-10-30,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5947,2023-10-30,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5948,2023-10-30,ASI,Classification details,Top-FAQ 10 ASI,Top-FAQ 10 ASI,No Category
5949,2023-10-30,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5950,2023-10-30,AFI,Customer,Not meet expectation,Top-FAQ 10 AFI,No Category
5951,2023-10-31,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5952,2023-10-31,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5953,2023-10-31,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5954,2023-10-31,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5955,2023-10-31,AFI,Customer,Not meet expectation,Loan limit decreases,Loan
5956,2023-10-31,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5957,2023-10-31,AFI,Customer,Not meet expectation,Cannot be installments,Submission of Limit/Credit Points
5958,2023-10-31,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5959,2023-10-31,AFI,Customer,Not meet expectation,Failed to apply for a loan,Loan
5960,2023-10-31,AFI,Customer,Not meet expectation,Loan limit decreases,Loan
5961,2023-10-31,AFI,Customer,Not meet expectation,Can't make loans,Loan
5962,2023-10-31,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5963,2023-10-31,AFI,Operational,Question Keyword,Paylater limit cannot be used,Submission of Limit/Credit Points
5964,2023-10-31,AFI,Customer,Not meet expectation,Paylater cannot be used again,Submission of Limit/Credit Points
5965,2023-10-31,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
5966,2023-10-31,AFI,Customer,Not meet expectation,Failure to Use Paylater Limit,Submission of Limit/Credit Points
